"ID","Session Type","Session Title","Status"
"47om0iko9j","Talk","Identifying User Competencies for Equitable LLM Adoption in Public Health","Rejected"
"b2blir919r","Talk","I Accidentally Built a Monitoring System While Trying to Debug Memory Leak","Rejected"
"954hh7iptr","Lightning Talk","FOSS beyond Software","Rejected"
"4skmi6o8sm","Panel Discussion","Community Infrastructure Matters: Scaling People Like We Scale Platforms","Rejected"
"17r5sgtff8","Talk","Scanning for Traditional Memory Corruption Vulnerabilities in Python using LLMs","Rejected"
"f7mrf12t7k","Lightning Talk","Babysitting Models","Rejected"
"a70bb4f4q1","Talk","Design once, reuse everywhere : Modular Electronics in Practice","Rejected"
"344vqt83ni","Lightning Talk","OAQ : An Air Quality Monitoring system made for community","Rejected"
"23q0oksgfg","Lightning Talk","kexec: When Linux Becomes the Bootloader","Rejected"
"f3obsems0a","Talk","Postgres as the Second Brain","Rejected"
"53mnkmlos7","Talk","FOSS as the foundation of Digital Sovereignty","Rejected"
"e1pk0tdlmf","Talk","Reticulum: The Network for the People","Rejected"
"0us2gfjiq1","Lightning Talk","Migrating from SW to Clinical grade HW: An Open MVDR Beamformer","Rejected"
"ds99k9i693","Talk","Introduction to Physical AI: Getting Started with Intelligent Robots","Rejected"
"6rveudvnd2","Workshop","Beyond the Code: Designing Contributor Experience in Open Source","Rejected"
"3qprevn342","Talk","Porting Games and Apps to Emerging Linux Platforms","Rejected"
"fqijbu4e7m","Lightning Talk","When AI Writes the Code, Who Maintains the Open Source Project?","Rejected"
"1kmv9jf1fj","Talk","Running RTOS on Application Cores in Heterogeneous SoCs: A Comparison between AMP and SMP systems","Rejected"
"7k7jcbepjo","Talk","Holding It Together: A Talk About Screws","Rejected"
"fk1bbkclbm","Talk","ECU Security Access Mechanism using UDS Service 0x27","Rejected"
"aj8rp1ouek","Lightning Talk","Poking Hardware: Finding Hidden debug ports with JTAGulator and Bus Pirate","Rejected"
"fj796bsbmp","Talk","What if your API is just a database connection?","Rejected"
"cimkcfkoni","Talk","Decentralisation: Hoax or Future of an Open-Source, Secure, Private, and Free Internet?","Rejected"
"8fmpobqe0a","Lightning Talk","Reversing MIPS: From CTF Binaries to Router","Rejected"
"9fm75audrb","Lightning Talk","Why Great Hackathon Projects Never Build Great Open Source Communities","Rejected"
"1fk9dv5hhh","Talk","A Practical Guide to BLE Security ","Rejected"
"1crh77ogup","Talk","Open Source Scientific Harware for Citizen Science","Rejected"
"b8kfrebqm2","Talk","The Loneliest Practice Room: Designing AI EdTech for Students Who've Never Spoken English Out Loud","Rejected"
"65q2ai9llc","Birds of Feather(BoF)","Operationalising Transparency in State AI Deployment","Rejected"
"f4jrgo1gdn","Talk","From Code to Context: Building FOSS Tools That Actually Work for the Impact Sector","Rejected"
"63bp5m9or8","Talk","PackageSentinel: Detecting Malicious npm & PyPI Packages with Static Analysis and AI","Rejected"
"e09eelfae5","Talk","Advanced version of Full decoy Honeypot cloud configured ","Rejected"
"f01nrrs901","Talk","Hardening Servers Shouldn't Need a Compliance Team: Building SysHardn.","Rejected"
"1r6qf0m2q8","Talk","Red CI, Clean Code: What Three Selenium PRs Taught Me About Contributor Attrition","Rejected"
"fimhblm3ag","Birds of Feather(BoF)","AI for Security, Security for AI or Security from AI","Rejected"
"dbrq0s489j","Workshop","Building for Users in the Impact Sector: Design Thinking for FOSS Contributors","Rejected"
"f9p4tc3jo5","Talk","Legal Basics for Open-Source Projects","Rejected"
"35rlkmau9a","Lightning Talk","Lessons from Building a Lightweight PaaS","Rejected"
"10l439tpm6","Talk","Building India's Truly Integrated Multimodal Mobility Platform","Rejected"
"7qu5p28hmb","Lightning Talk",".NET compiler support on IBM Z","Rejected"
"1g4no8n5c3","Talk","Independent Cells, Shared Reliability: Building a Redis-First Approach to Active-Active Systems","Rejected"
"5fuh2lh8un","Talk","Introducing Frappe Suite - The productivity suite that doesn't suck!","Rejected"
"9bv8qkbtm5","Lightning Talk","Project Hummingbird - Minimal Images, Maximum Trust","Rejected"
"1bi2qn1ejl","Talk","Budget Macropad","Rejected"
"dbdtko1ifo","Lightning Talk","How to Start Contributing to the Linux Kernel: A Beginner's Roadmap","Rejected"
"3at1s06b8d","Panel Discussion","Who Pays for Cognition? Open Source in the Age of Organization-Hosted AI Agents","Rejected"
"5aqup9tb96","Talk","When the Right Change Breaks Four Files: What Selenium's Documentation System Taught Me About Contributor Onboarding","Rejected"
"fos33559um","Talk","Evaluating AI Universe for your Dialects and Languages: Methodology for Architecting Low-Resource Language Evals ","Rejected"
"aokt1bgcb6","Workshop","Open Learning: Lessons from Building the Unboxing Tech Toolkit","Rejected"
"9mhpmh5rja","Talk","Customizable Shortcuts and Command Infrastructure in a Desktop Qt/QML App","Rejected"
"0lhb3pvba9","Talk","AI Orchestration System as a Digital Public Good: Tech Stack for the Impact Sector ","Rejected"
"0047h2v62e","Talk","Beyond Maintainer Inconsistency: Using Review Archetypes to Navigate OSS Review","Rejected"
"5tef58ctvg","Talk","Escape the Knot: A Proof of Concept for pedestrian accessibility and mobility","Rejected"
"edti6ethgm","Talk","Crypto Gone Wrong - Why secure algorithms still gets exploited?","Rejected"
"5pt6h9haf5","Talk","Securing Frappe Meet beyond transport encryption","Rejected"
"1ml00e63b8","Talk","Let's talk about it- AI for Security, Security for AI, or Security from AI?","Rejected"
"9h30t65qbp","Lightning Talk","Brand Identity for the Next Generation of Open Source","Rejected"
"5gr69a1am4","Talk","AgentIR: A Compiler-Inspired Optimization Framework for AI Workflows","Rejected"
"bfd56k5cek","Talk","Enabling Inclusion for 1 Billion: A Building-Blocks Approach to Language AI for the Global South","Rejected"
"847k3r428c","Lightning Talk","DeepChem is one of the biggest Open-Source Frameworks connecting Chemistry, Biology and ML","Rejected"
"40kf672vof","Lightning Talk","The Geometry of a fatal harbor: using Lean to analyze when a fleet might end up trapped","Rejected"
"6p1qum2969","Lightning Talk","Throughout Heaven and Earth, Is Jujutsu Alone the Honored One? (A Gentler Way to Work With Git)","Rejected"
"dh4cv8vll0","Lightning Talk","Breaking IPTFS: My First Kernel CVE","Rejected"
"fah0d40v7r","Lightning Talk","What ""Agentic-First"" Really Means for an Analytical Database","Rejected"
"17sc1p36ed","Lightning Talk","Fork Around and Find Out: How Open Source Beats the Rug-Pull of source-available licenses!","Rejected"
"65ec8del3g","Talk","The Identity You Didn't Know You Granted: How MCP Quietly Breaks Per-User RBAC in LLM-Powered SOC Tools","Rejected"
"7n9aj5o2kt","Talk","Why the commons needs memory: Future of the Commons as a recurring, archived knowledge repository","Rejected"
"baq47iioen","Talk","Beyond Code- Lessons from Building Open Source Communities","Rejected"
"572nnluupe","Talk","Deja: Record, Replay, and prove your change didn't break anything","Rejected"
"9gbsmisedr","Lightning Talk","Why Are Designers Afraid of the Codebase","Rejected"
"7v310e5e0o","Talk","Can You Trust Your CI? Building Reproducible Pipelines with Tekton","Rejected"
"6u8tcmvnkb","Lightning Talk","From Claims to Evidence: Testing Reliability in FOSS","Rejected"
"1nn4p9t4m1","Workshop","Beyond Emulation: Hardware-in-the-Loop Testing on Shared Remote Boards","Rejected"
"dltpcgiud6","Talk","When malloc() Lies: Building a Lightweight Memory Debugger for Embedded Systems","Rejected"
"9jlds8p2gh","Talk","From C to Optimised Machine Code- A System Engineer's journey through LLVM and MLIR","Rejected"
"2f82f62opf","Talk","Building an MCP Server: Turning an E-Commerce Application into an AI Agent","Rejected"
"fbip66qvn5","Lightning Talk","Dev Wallet: An Open Hardware Wallet Built with Rust","Rejected"
"7a730m5fjj","Talk","Vayuayan and VayuayanR: Scalable analysis of air quality data from satellite, public and private sensor networks","Rejected"
"19gqsgi25t","Lightning Talk","Breaking Into Chip Design: Building a Digital Design Workflow with Open-Source Tools","Rejected"
"d7ng0fcjg5","Workshop","Mindful App Installation with F-droid","Rejected"
"1chgdgqu3i","Lightning Talk","Lab on Demand: Scalable Virtual Machines in the browser for students","Rejected"
"dfl7gikrga","Workshop","Hands-on usage of CoRE stack datasets and APIs for social-ecological planning","Rejected"
"fe309td9qv","Lightning Talk","Your AI Agent Is a Distributed System. Build It Like One.","Rejected"
"2fbjvtv0pj","Talk","Movim: A Decentralized, Federated and Libre Alternative to Discord","Rejected"
"9l4sdcev05","Lightning Talk","Build Your Own Kubernetes API with KRO: No Operator, No Go","Rejected"
"fn6lfnqdif","Talk","KiCAD-Prism: Self-Hosted Hardware Collaboration Workflow for Startups and Student Teams","Rejected"
"6kp7ed536e","Talk","Varunayan and VarunayanR: Scalable analysis of climate data across data stores, languages and geographies","Rejected"
"8q47utd51e","Talk","HackerFab IITB: democratizing semiconductor fabrication","Rejected"
"9csr49v56c","Lightning Talk","Accelerate Domain Context Switch with FOSS and AI Tools","Rejected"
"1avb99vs5l","Talk","Does India Need Data Centres?","Rejected"
"10s4h12d0t","Talk","DDR-Less by Choice: HyperRAM & PSRAM for Embedded Systems","Rejected"
"3gc657ergd","Talk","What does ""SLSA Level 3"" really mean? Securing an open-source build, live, with an AI agent","Rejected"
"0nfvb007fl","Lightning Talk","AI Without the Cloud: Privacy, Quantisation, and Local Inference Explained","Rejected"
"8ogh91k3jb","Talk","A Legal Digital Knowledge Commons Built for Indian Citizens - The Justice Definitions Project","Rejected"
"2lerfh5dp6","Lightning Talk","Beyond the PR: Contributing with AI, Collaborating with Humans","Rejected"
"cgk2r10rmq","Lightning Talk","Hardware Trojan - Why did it not let me sleep","Rejected"
"54o5ep2b0i","Talk","llmgate: Building an Open Source AI Gateway for AI Developer Tools","Rejected"
"ala5mobbgk","Lightning Talk","Sustainable AI in Practice: Empowering a Greener Future for All","Rejected"
"65t0ng1g19","Lightning Talk","Bahmni case study - The UX framework for modernising an open source legacy healthcare software","Rejected"
"bsl7rhlaqn","Lightning Talk","From Sand to Screen: The Open Source Story of How Your Computer Actually Works","Rejected"
"3gcu5hp1ov","Talk","Buzz: Best 100% Open Source Event Management Platform","Rejected"
"7o536smm6c","Talk","I Moved an Image and My Document Broke!","Rejected"
"bq72bc02c5","Talk","Making FOSS Usable: Running Public Privacy Services for Everyday Internet Users","Rejected"
"3kr771la4u","Lightning Talk","Trust in FOSS Ecosystem: Maintaining What’s Harder To Build","Rejected"
"ek0cr7dj9v","Talk","Keys All the Way Down: Hierarchical Encryption for Folder Management","Rejected"
"7p9lql8n4p","Talk","Reinventing Bahmni: Modernizing the Stack, the Delivery, and the Product of a Decade-Old Open-Source EMR with Open Standards and AI","Rejected"
"ensf4ckn8k","Talk","Why Your Docs Confuse Everyone, and How Diátaxis Framework Fixes It","Rejected"
"4k8odpd090","Talk","AI-Driven CI/CD: Orchestrating Agentic DevOps Pipelines","Rejected"
"bc6ppep1rv","Talk","Doing Multiple Things Safely: Using RPC for Transactions","Rejected"
"92nq3ngjfa","Talk","Kubernetes Multicluster management with Open Cluster Management (OCM) ","Rejected"
"5omsvbn6u8","Talk","Modernizing Legacy Development Workflows Without Losing History","Rejected"
"ccu28jior3","Talk","Platform-Agnostic Recovery: SnagFactory's Hardware Abstraction for Device Flashing","Rejected"
"2banai9272","Lightning Talk","Your Electron App Can Pop a Shell - Here's How to Check","Rejected"
"6l594icsbe","Talk","The OSPI PHY Grapher: Real-Time Data Visualization Over UART for Smarter Flash Tuning","Rejected"
"ej4f5mibfo","Lightning Talk","The Hidden Open Source Behind Every Web Request","Rejected"
"2tmb6kls6m","Talk","The Open Source Blueprint: Engineering Modern Applications from Idea to Production","Rejected"
"e7o40709c1","Talk","Xonotic India and working to save the future of Open Source Game Servers hosted in India","Rejected"
"8sbpvkd1sd","Talk","Understanding composition attacks on AI Agent ecosystems using skills","Rejected"
"e8m30rhjr4","Talk","I Break Things, AI Fixes Them: Building a Self-Healing CI/CD Pipeline","Rejected"
