"ID","Session Type","Session Title","Status","Response (Custom Answers)"
"946qm38m58","Lightning Talk","Communi-Con","Screening",""
"doht3bggkm","Birds of Feather(BoF)","United by (Free) F&B - Food & Books","Approved","Main track"
"4eh569dvq9","Birds of Feather(BoF)","Can We Build a Copyleft License for Community Data in the Age of AI","Approved","Main track"
"1setugf0ae","Workshop","Getting Started with Qt","Approved","Main track"
"6pb727vn12","Panel Discussion","The future of FOSS, SWE and Technical Education","Approved","Main track"
"9lmiio7p5b","Panel Discussion","From DPI to People’s Digital Infrastructure: Reclaiming Digital Infrastructures for Democratic Accountability","Approved","Main track"
"1f9ett9bgj","Birds of Feather(BoF)","Community-Driven or Community-Branded? Who Gets to Shape Community Events?","Approved","Main track"
"92adqrmbh1","Birds of Feather(BoF)","FOSS4Good - Techies in the social sector","Approved","Main track"
"2p9brsg91r","Birds of Feather(BoF)","FOSS for Justice - What can Open Source do for India’s Courts?","Approved","Main track"
"0j48rt6d3s","Birds of Feather(BoF)","FOSS and Co-operatives","Approved","Main track"
"dagd2l28tm","Birds of Feather(BoF)","FOSS in the Public Consciousness","Approved","Main track"
"e08r7fa8ja","Lightning Talk","Adapting Generic Boot Loader on Android platforms","Approved","Android Open Source Project (AOSP)"
"82fbs78uua","Birds of Feather(BoF)","Micro-granting in India","Approved","Main track"
"cpno9khavs","Talk","Open Code, Curated Data: Building Open Water Intelligence for Indian Cities","Approved","Main track"
"5sktsu12a4","Lightning Talk","A plan to sort out this CVE mess","Approved","Security"
"b8josvurds","Lightning Talk","From Prompts to Production: Building an Open-Source AI On-Call Agent with MCP and Multi-Agent Workflows","Approved","Cloud & DevOps"
"0evl4k18m0","Birds of Feather(BoF)","Beyond the ICT Period: Can FOSS Communities Reshape School-Level Tech Education in India?","Approved","Main track"
"62ntegtu09","Lightning Talk","Building Open Source Digital Infrastructure for a University","Approved","Main track"
"5ua576fg9k","Lightning Talk","Beyond Hardware Description: Using Device Tree for System-Level Configuration in Zephyr RTOS","Approved","Real Time Operating Systems (RTOS)"
"erphckugi7","Lightning Talk","Extracting AES Keys from Embedded Devices Using Open Source Hardware","Approved","Security"
"9qp8u3f894","Lightning Talk","From Display Controller to Panel: A Modular Display Pipeline Architecture for Zephyr","Approved","Real Time Operating Systems (RTOS)"
"7pt1ibasdd","Talk","Minnow: An Open Platform for Ground Swarm Robotics","Approved","Open Hardware"
"1cbj5bhfhf","Talk","CNC4Everyone - How we built a CNC machine for every classroom, college and makerspace","Approved","Open Hardware"
"f7dtg4blkp","Lightning Talk","Correlation is Not Causation: An Intro to Causal AI with pgmpy","Screening","Main track"
"76tid1o2lg","Lightning Talk","Long live outbox : Outbox is dead","Approved","Cloud & DevOps"
"anvlvjqect","Lightning Talk","Extending Capa for Malicious Script Analysis","Approved","Security"
"9611q7a3nk","Talk","The Art of Userspace Sandboxing on Linux","Approved","Security"
"60o6p05du9","Lightning Talk","AI Documentation Observability: Measuring Trust in the Age of AI","Screening","Documentation & Technical Writing"
"d883e2uauk","Talk","Porting AOSP to Allwinner Sunxi platform","Approved","Android Open Source Project (AOSP)"
"1vj5aoro8u","Birds of Feather(BoF)","How do we scale and sustain AI adoption without burning the planet? ","Approved","Main track"
"aqenkb8ktb","Talk","RTL to Zephyr RTOS: Lightweight-Crypto Acceleration on Open RISC-V","Approved","Real Time Operating Systems (RTOS)"
"ajdpfpbh5a","Talk","Judiciary Entity Map: How open source can make India’s courts legible","Approved","Main track"
